V05[1.2],V06[7.8],V08[6.9],V12[11.9],V16[6.0],V20[5.7],V24[5.5],V27[1.7],N05[1.8],N06[5.2],N08[6.5],N12[7.0],N16[9.0],N20[10.5],N24[16.7],N28[3.6],S06[1.4],S07[6.5],S09[8.1],S13[10.3],S17[19.0],S21[11.2],S25[12.2],S29[4.9],V05[1.7],V06[9.6],V08[6.1],V12[7.4],V16[7.5],V20[6.9],V24[7.8],V28[2.6]
0.181217,0.140668,0.170128,0.160426,0.211502,0.20693,0.180871,0.179224,0.149332,0.227692,0.159352,0.175751,0.185208,0.199668,0.195244,0.173216,0.189837,0.237391,0.234195,0.218423,0.21641,0.227172,0.193271,0.183176,0.178762,0.217844,0.216399,0.213132,0.243572,0.217148,0.215596,0.235181
0.224131,0.169212,0.202289,0.189453,0.20338,0.181597,0.20633,0.174882,0.160866,0.183505,0.208523,0.206312,0.20762,0.196836,0.17176,0.17213,0.198019,0.247433,0.222661,0.218261,0.200996,0.219876,0.179631,0.170825,0.21261,0.230559,0.247297,0.206304,0.258985,0.241047,0.204812,0.153915
0.217422,0.191403,0.181193,0.166169,0.243617,0.173266,0.213935,0.167711,0.207802,0.212455,0.165404,0.198987,0.217,0.236915,0.199734,0.147407,0.21242,0.212312,0.203369,0.227904,0.218683,0.225038,0.185736,0.175455,0.241345,0.236056,0.236654,0.237743,0.235948,0.232438,0.231909,0.19623
0.184906,0.17944,0.167851,0.202707,0.216416,0.200908,0.203739,0.191409,0.180771,0.205092,0.183602,0.195369,0.1948,0.217432,0.181891,0.182028,0.212162,0.202442,0.198526,0.207844,0.224951,0.231499,0.1935,0.168386,0.238254,0.214538,0.224847,0.205556,0.203506,0.210717,0.168264,0.192965
0.187204,0.21344,0.138304,0.190041,0.2124,0.18513,0.191046,0.167744,0.153974,0.221999,0.217038,0.222921,0.186666,0.204652,0.207962,0.171454,0.171376,0.217989,0.21414,0.180265,0.182417,0.190318,0.179122,0.182997,0.203341,0.220777,0.210249,0.214264,0.209277,0.175165,0.202089,0.205262
0.17267,0.149521,0.154328,0.178235,0.174158,0.220479,0.168435,0.160541,0.16953,0.192323,0.188732,0.184024,0.179437,0.179114,0.185114,0.153695,0.164883,0.233494,0.197012,0.182748,0.200292,0.186383,0.169152,0.18505,0.193054,0.193031,0.232457,0.196266,0.211497,0.162208,0.179977,0.190188
0.165855,0.168011,0.149638,0.170125,0.17767,0.180604,0.161353,0.127832,0.143505,0.180964,0.157577,0.144608,0.157064,0.168241,0.161966,0.153182,0.186471,0.196009,0.207406,0.194635,0.195737,0.189637,0.193028,0.171382,0.194976,0.223634,0.217928,0.215266,0.215326,0.197004,0.194923,0.164775
0.165188,0.145182,0.143177,0.149996,0.170987,0.154615,0.13551,0.13396,0.145892,0.156702,0.154353,0.162537,0.162503,0.18013,0.144671,0.157048,0.195573,0.221024,0.19,0.226077,0.203642,0.199646,0.182499,0.172901,0.195533,0.216548,0.189325,0.228027,0.216326,0.208371,0.196777,0.18532
0.155681,0.154185,0.157921,0.146459,0.160874,0.153317,0.178249,0.14441,0.17226,0.148814,0.162995,0.177287,0.142446,0.168552,0.158131,0.145542,0.193214,0.214245,0.198276,0.196348,0.194668,0.222161,0.182754,0.186705,0.206979,0.203811,0.221416,0.225207,0.246868,0.200992,0.202637,0.178747
0.177539,0.170219,0.164596,0.162117,0.179164,0.159935,0.179596,0.192073,0.148342,0.140018,0.193405,0.174841,0.162924,0.164403,0.17933,0.162212,0.20907,0.261517,0.225338,0.210674,0.24786,0.218225,0.19131,0.210879,0.210877,0.231745,0.255751,0.272509,0.250693,0.209345,0.229623,0.228817
0.197906,0.177863,0.152443,0.180897,0.185383,0.190569,0.196077,0.168126,0.159174,0.196028,0.170858,0.193003,0.188997,0.164187,0.2114,0.17635,0.214189,0.279458,0.238356,0.220098,0.250695,0.232275,0.194916,0.199609,0.207298,0.256616,0.248975,0.235618,0.264278,0.211973,0.240831,0.212596
0.197305,0.196725,0.167768,0.196865,0.220861,0.245325,0.20166,0.179895,0.168439,0.19348,0.199254,0.21558,0.188495,0.215717,0.23111,0.182559,0.221016,0.28768,0.241488,0.235814,0.262656,0.245018,0.225125,0.199392,0.207353,0.26443,0.25844,0.212025,0.278716,0.239143,0.223586,0.183986
0.243581,0.196867,0.214076,0.214014,0.23776,0.247912,0.200876,0.19089,0.215818,0.221224,0.212208,0.225633,0.250778,0.206862,0.180301,0.207067,0.240952,0.241455,0.212905,0.252541,0.252891,0.271377,0.224153,0.189466,0.263957,0.235316,0.277306,0.291247,0.270863,0.242438,0.257031,0.19043
0.236438,0.2201,0.210507,0.242079,0.275678,0.223785,0.203725,0.191078,0.196507,0.239182,0.210074,0.235247,0.259915,0.226294,0.20167,0.203612,0.272856,0.273893,0.254237,0.274523,0.231435,0.255511,0.232114,0.196831,0.257313,0.287185,0.301366,0.255955,0.262143,0.242488,0.244162,0.228046
0.218678,0.280417,0.25658,0.248563,0.290223,0.237996,0.261273,0.199039,0.202986,0.262665,0.238504,0.24963,0.254767,0.262262,0.212595,0.20476,0.227267,0.316444,0.259532,0.252199,0.23703,0.272524,0.228684,0.217903,0.228739,0.301385,0.304207,0.263085,0.297579,0.253805,0.243816,0.228014
0.278537,0.237223,0.226014,0.310634,0.24662,0.237013,0.216506,0.203341,0.228955,0.300295,0.276863,0.259645,0.260889,0.233144,0.257218,0.224544,0.230198,0.318792,0.267212,0.260145,0.233595,0.268614,0.235492,0.1799,0.251403,0.319929,0.280729,0.205752,0.261211,0.245405,0.236079,0.185913
0.260094,0.197531,0.234519,0.32611,0.245649,0.280918,0.271411,0.230026,0.232693,0.296528,0.257982,0.303618,0.25504,0.25247,0.300134,0.237239,0.250201,0.281976,0.238833,0.246541,0.262347,0.259361,0.199745,0.226808,0.219277,0.275863,0.281097,0.239765,0.275829,0.271873,0.232176,0.224387
0.26277,0.23797,0.213733,0.232539,0.255648,0.304751,0.228545,0.228651,0.232767,0.282,0.237951,0.250723,0.244971,0.231652,0.237623,0.232194,0.253246,0.24785,0.205877,0.25166,0.273147,0.248619,0.207523,0.181623,0.257074,0.288071,0.32898,0.226832,0.281402,0.271711,0.206264,0.201647
0.263924,0.202693,0.228715,0.199891,0.249721,0.268827,0.242332,0.205652,0.222107,0.267868,0.2123,0.281092,0.19941,0.276481,0.240966,0.20748,0.21908,0.262453,0.257312,0.244223,0.212888,0.218053,0.204373,0.169758,0.218358,0.267097,0.264334,0.243587,0.244057,0.241255,0.217722,0.20714
0.252567,0.251671,0.18715,0.221817,0.24639,0.267969,0.255717,0.188411,0.21014,0.228949,0.247717,0.272432,0.216016,0.222616,0.213515,0.194974,0.151695,0.262752,0.234829,0.224618,0.203859,0.252456,0.183588,0.196778,0.211919,0.233241,0.249493,0.215519,0.249995,0.20268,0.202848,0.187059
0.222262,0.248245,0.214947,0.245412,0.237962,0.22607,0.260811,0.187123,0.179644,0.220389,0.231917,0.279393,0.239611,0.272459,0.205623,0.168135,0.194397,0.24751,0.218927,0.242207,0.229399,0.233013,0.191021,0.176051,0.175604,0.213057,0.276939,0.203951,0.222054,0.22296,0.208303,0.176636
0.230862,0.184196,0.179423,0.233942,0.232287,0.224028,0.239486,0.211896,0.183676,0.246973,0.260058,0.247261,0.190379,0.186978,0.260612,0.164865,0.189836,0.224758,0.234507,0.190255,0.200727,0.194101,0.198812,0.161515,0.20435,0.222661,0.25257,0.211776,0.231374,0.236762,0.199358,0.204096
0.18454,0.190898,0.199934,0.219283,0.224849,0.212006,0.218711,0.15219,0.17428,0.226625,0.194091,0.208417,0.198341,0.192588,0.231784,0.151165,0.225693,0.228713,0.200176,0.217379,0.197154,0.229854,0.201848,0.140126,0.196494,0.245624,0.243891,0.22193,0.251529,0.224851,0.204389,0.203708
0.187747,0.146562,0.18663,0.187692,0.214604,0.222744,0.206844,0.156629,0.192707,0.223364,0.177217,0.218679,0.194681,0.181499,0.211528,0.167871,0.201736,0.2716,0.225382,0.167685,0.20652,0.172411,0.201328,0.148291,0.167193,0.230083,0.234224,0.228122,0.221662,0.190138,0.215625,0.191898
0.1888,0.19677,0.166592,0.184687,0.236484,0.223699,0.188927,0.174641,0.158487,0.21779,0.180168,0.201552,0.175115,0.231024,0.21407,0.168605,0.153094,0.295295,0.253307,0.197842,0.198403,0.20065,0.186024,0.180294,0.216561,0.181897,0.205075,0.201914,0.221994,0.186977,0.206864,0.158746
0.192734,0.205257,0.165131,0.18937,0.191898,0.211538,0.172756,0.157438,0.154819,0.192484,0.165616,0.237191,0.224005,0.225738,0.20934,0.188914,0.177416,0.276215,0.210149,0.214763,0.207634,0.220301,0.196815,0.160304,0.165884,0.214484,0.229651,0.175792,0.259749,0.239017,0.181869,0.186691
0.166586,0.213243,0.19282,0.223766,0.212683,0.176934,0.181872,0.172584,0.181897,0.2039,0.190283,0.209841,0.185507,0.214681,0.169388,0.154909,0.211632,0.181721,0.158701,0.209449,0.163937,0.203148,0.175717,0.194638,0.200422,0.220702,0.257195,0.202878,0.225383,0.216862,0.215078,0.200391
0.19434,0.203984,0.195502,0.231084,0.223749,0.203388,0.204801,0.203341,0.212371,0.198472,0.192144,0.218834,0.20893,0.187823,0.188362,0.186052,0.198712,0.220648,0.206938,0.195174,0.219677,0.207683,0.159769,0.141954,0.212383,0.218655,0.239442,0.254197,0.243127,0.189043,0.213422,0.182885
0.183633,0.162121,0.17632,0.232714,0.209389,0.235642,0.203058,0.161989,0.17823,0.236988,0.178837,0.236024,0.181932,0.206137,0.225153,0.178911,0.199313,0.23663,0.224816,0.215213,0.207857,0.244543,0.193012,0.174136,0.216642,0.247913,0.212981,0.233342,0.241306,0.207506,0.213332,0.20455
0.211884,0.173144,0.191292,0.187899,0.254693,0.236502,0.183478,0.167019,0.169716,0.202674,0.174404,0.205097,0.217541,0.181596,0.229708,0.137479,0.221132,0.248261,0.241866,0.215863,0.22504,0.240817,0.156103,0.165014,0.185077,0.198583,0.218949,0.189225,0.23406,0.227376,0.200866,0.164212
0.217185,0.18712,0.196695,0.208855,0.209617,0.217868,0.191988,0.209649,0.182125,0.212776,0.191002,0.203881,0.189525,0.222818,0.191259,0.171537,0.21132,0.237501,0.184736,0.196111,0.218338,0.241995,0.178728,0.16479,0.183622,0.241213,0.249545,0.190657,0.219643,0.200341,0.171624,0.182161
0.205554,0.209279,0.180333,0.184151,0.211831,0.184317,0.192878,0.174493,0.199284,0.253432,0.181896,0.219759,0.216316,0.201212,0.191098,0.17931,0.215748,0.201888,0.242875,0.176227,0.229887,0.216604,0.202717,0.166374,0.197928,0.250607,0.268985,0.217175,0.246929,0.183127,0.207046,0.165181
0.213322,0.160547,0.169162,0.188704,0.18642,0.200002,0.192214,0.155639,0.154408,0.236755,0.175817,0.219665,0.229051,0.217143,0.16456,0.145795,0.223524,0.22417,0.224892,0.204294,0.196998,0.197209,0.169853,0.133481,0.217308,0.232061,0.22664,0.219619,0.240863,0.183922,0.209958,0.176294
0.167044,0.179818,0.17942,0.182077,0.189189,0.204229,0.201805,0.168282,0.162931,0.219987,0.185741,0.189198,0.201569,0.231662,0.169131,0.148978,0.167611,0.242374,0.203682,0.201779,0.19585,0.230266,0.19212,0.156058,0.165082,0.219372,0.20688,0.1929,0.228393,0.199645,0.152292,0.191272
0.17508,0.150174,0.192393,0.15294,0.207255,0.211974,0.214763,0.135257,0.13753,0.187353,0.173699,0.178608,0.209081,0.162694,0.187772,0.136896,0.177215,0.230924,0.202925,0.228512,0.175941,0.236021,0.165503,0.18391,0.155465,0.191216,0.199312,0.21465,0.230904,0.22208,0.175149,0.156529
0.205251,0.123345,0.166286,0.169658,0.21535,0.218508,0.169742,0.126469,0.133384,0.191073,0.164737,0.17419,0.193642,0.160487,0.183138,0.152962,0.202075,0.230735,0.206746,0.207347,0.234917,0.227887,0.168369,0.181423,0.20713,0.242798,0.251821,0.226436,0.248565,0.214317,0.186213,0.171267
0.208323,0.138606,0.162464,0.19717,0.206805,0.223418,0.176141,0.124568,0.116262,0.196903,0.200436,0.204989,0.20275,0.177938,0.183551,0.172577,0.190677,0.229895,0.183748,0.218677,0.193402,0.220997,0.185018,0.153428,0.200934,0.24362,0.252899,0.224259,0.2202,0.200529,0.21611,0.183928
0.209048,0.191842,0.172329,0.217482,0.193176,0.181022,0.153424,0.167646,0.151969,0.199368,0.187056,0.177692,0.16836,0.176036,0.157024,0.154582,0.225521,0.230326,0.222009,0.211831,0.195823,0.19563,0.160044,0.18148,0.236296,0.235075,0.223109,0.232925,0.222966,0.208454,0.213826,0.170209
0.184653,0.173427,0.175378,0.202913,0.167867,0.177345,0.20697,0.158536,0.134894,0.188481,0.164198,0.214654,0.205254,0.207757,0.19544,0.166639,0.208443,0.250942,0.232435,0.20374,0.211386,0.217918,0.194415,0.202326,0.193746,0.217814,0.228374,0.224587,0.208698,0.219659,0.212817,0.169741
0.162502,0.212658,0.176409,0.207939,0.239503,0.216547,0.178218,0.136751,0.187822,0.205417,0.203693,0.20371,0.187789,0.219695,0.178957,0.132211,0.179666,0.229729,0.219613,0.199721,0.201834,0.194905,0.181025,0.152121,0.180258,0.214218,0.242187,0.205986,0.196349,0.210968,0.204906,0.186811
0.173428,0.150509,0.166849,0.221365,0.210152,0.224989,0.205478,0.166877,0.15016,0.209677,0.209133,0.245102,0.232798,0.195249,0.196921,0.173963,0.202886,0.234831,0.18415,0.213661,0.187853,0.212332,0.171371,0.169117,0.196136,0.241579,0.268335,0.236599,0.237543,0.220271,0.204151,0.201369
0.206845,0.153553,0.193651,0.200462,0.223578,0.23502,0.161406,0.173985,0.133531,0.195654,0.201875,0.190803,0.220799,0.179775,0.196637,0.164389,0.223565,0.230393,0.205958,0.197622,0.219892,0.194628,0.179053,0.164958,0.189479,0.226065,0.21684,0.226907,0.20889,0.197605,0.169346,0.187392
0.192233,0.186938,0.181154,0.162958,0.182833,0.198277,0.163341,0.151205,0.149632,0.205414,0.156906,0.176677,0.19834,0.203527,0.191615,0.144337,0.189157,0.227961,0.232835,0.184997,0.20123,0.181746,0.16998,0.134738,0.188361,0.223572,0.20503,0.212881,0.21357,0.181775,0.203883,0.170512
0.183087,0.181727,0.146898,0.190124,0.179617,0.189731,0.144295,0.178436,0.131553,0.189957,0.174136,0.188791,0.193087,0.175521,0.187799,0.137115,0.146649,0.203192,0.212344,0.185491,0.197035,0.199788,0.157782,0.155939,0.182904,0.168738,0.168543,0.160896,0.175316,0.20017,0.157301,0.157201
0.169794,0.165991,0.157692,0.17221,0.145539,0.159098,0.176323,0.17646,0.145308,0.224827,0.177472,0.172162,0.170238,0.175478,0.133734,0.138649,0.12506,0.203674,0.15126,0.156278,0.163823,0.198449,0.119731,0.129708,0.154878,0.178992,0.180452,0.175969,0.19707,0.192348,0.16713,0.126377
0.152386,0.140567,0.147342,0.165609,0.187685,0.152228,0.145908,0.113331,0.148388,0.191015,0.145508,0.150271,0.188808,0.146528,0.175253,0.103726,0.141038,0.20755,0.158711,0.156069,0.198685,0.172578,0.133779,0.132909,0.163973,0.191195,0.213646,0.163098,0.175938,0.136184,0.172065,0.154658
0.153223,0.128793,0.1392,0.134224,0.181338,0.147492,0.138229,0.113167,0.110581,0.171562,0.131401,0.166068,0.172654,0.153865,0.152657,0.107873,0.132721,0.183173,0.153427,0.160917,0.178799,0.156932,0.138304,0.121321,0.144594,0.190955,0.201208,0.155995,0.176769,0.159753,0.160011,0.130577
0.145351,0.135439,0.132157,0.12909,0.152883,0.172946,0.111027,0.131852,0.101474,0.142149,0.128452,0.138023,0.166706,0.149153,0.151573,0.134094,0.169164,0.160384,0.187224,0.174005,0.138224,0.178876,0.12707,0.105929,0.156323,0.171564,0.154666,0.168623,0.158287,0.134531,0.136518,0.135414
0.1483,0.138035,0.132638,0.135413,0.176097,0.156587,0.150922,0.126774,0.118698,0.133899,0.121505,0.154161,0.143611,0.138641,0.147468,0.116307,0.132484,0.187381,0.172121,0.177574,0.173537,0.164441,0.13569,0.147344,0.129187,0.172176,0.149195,0.167091,0.180961,0.155146,0.140118,0.133539
0.132309,0.11457,0.130354,0.149426,0.149641,0.169721,0.151212,0.137924,0.110467,0.153569,0.10925,0.160485,0.143211,0.139513,0.13992,0.126877,0.170281,0.170609,0.155361,0.179377,0.161728,0.174142,0.172841,0.138201,0.16826,0.174696,0.180553,0.171982,0.183091,0.166163,0.149039,0.132678
0.147323,0.14612,0.128936,0.142645,0.128201,0.139517,0.137088,0.112845,0.125176,0.15476,0.132015,0.145106,0.175464,0.142652,0.174977,0.11652,0.154177,0.176519,0.152953,0.173609,0.182559,0.163333,0.139071,0.147124,0.156063,0.211595,0.220369,0.215563,0.204686,0.166818,0.155281,0.164867
0.15425,0.140438,0.136777,0.155802,0.200673,0.168573,0.164221,0.122835,0.119988,0.16836,0.139156,0.163074,0.170483,0.163017,0.174541,0.10185,0.162141,0.220726,0.198316,0.186463,0.210776,0.205922,0.164042,0.153096,0.18965,0.203739,0.193121,0.22393,0.206352,0.190543,0.190735,0.14985
0.13625,0.12852,0.16771,0.161289,0.213355,0.200351,0.148946,0.142745,0.12654,0.180038,0.169643,0.193954,0.17603,0.179264,0.17557,0.1322,0.182798,0.222821,0.201712,0.21096,0.207278,0.218683,0.156885,0.177544,0.21773,0.227721,0.212368,0.210077,0.236335,0.209452,0.193909,0.176676
0.181704,0.175368,0.172485,0.171051,0.216379,0.206301,0.159209,0.138069,0.121196,0.195986,0.181525,0.190005,0.201167,0.187312,0.19158,0.127501,0.177505,0.246608,0.21305,0.20808,0.216676,0.230927,0.213035,0.175401,0.199473,0.232189,0.236239,0.205477,0.232029,0.213855,0.214671,0.199975
0.206636,0.169433,0.177524,0.171377,0.212939,0.210267,0.18359,0.190731,0.155668,0.211678,0.178019,0.226398,0.2144,0.199522,0.195561,0.159218,0.208753,0.260208,0.227495,0.229857,0.196648,0.237886,0.199764,0.179693,0.212859,0.249691,0.259644,0.24527,0.257274,0.222879,0.238577,0.194149
0.195379,0.205654,0.170595,0.212603,0.201721,0.22031,0.210011,0.18963,0.190017,0.215649,0.221842,0.214114,0.193277,0.226878,0.199176,0.169235,0.200582,0.292334,0.231985,0.23524,0.235058,0.237242,0.188408,0.189878,0.215189,0.262146,0.269129,0.244563,0.287676,0.235061,0.226161,0.198961
0.223428,0.212855,0.191927,0.240852,0.205177,0.21688,0.203146,0.211915,0.192143,0.225441,0.210494,0.249654,0.217484,0.215904,0.19468,0.162883,0.247255,0.295845,0.269683,0.253716,0.238624,0.24786,0.203226,0.192846,0.249511,0.28591,0.270873,0.287134,0.277552,0.271267,0.236829,0.211024
0.232488,0.20444,0.196262,0.23988,0.231447,0.263663,0.235195,0.205945,0.19084,0.245458,0.22068,0.27341,0.248932,0.252475,0.235534,0.188597,0.262152,0.315301,0.298967,0.264553,0.284217,0.307901,0.219941,0.205183,0.271277,0.307807,0.293487,0.29315,0.318336,0.286082,0.263899,0.228454
0.245496,0.215413,0.227943,0.261623,0.315691,0.269897,0.251517,0.235271,0.165469,0.251488,0.263898,0.286563,0.285444,0.256954,0.25566,0.225417,0.261242,0.353849,0.349606,0.338826,0.339567,0.374579,0.270894,0.250438,0.300237,0.333991,0.392088,0.357006,0.383811,0.327888,0.306099,0.291744
0.3115,0.298613,0.268958,0.329476,0.359957,0.37763,0.281794,0.27881,0.233911,0.291548,0.303306,0.332932,0.314639,0.311662,0.304575,0.231555,0.297014,0.417816,0.353389,0.334899,0.351817,0.362217,0.285694,0.263529,0.305531,0.406196,0.441947,0.397544,0.419287,0.331092,0.347278,0.315201
0.373868,0.367225,0.319318,0.40916,0.444357,0.379077,0.345033,0.301196,0.269504,0.393307,0.351255,0.413438,0.378564,0.372289,0.3627,0.266082,0.298991,0.442806,0.360022,0.344634,0.354758,0.374114,0.307058,0.231831,0.338344,0.432755,0.456002,0.375234,0.409993,0.345892,0.319753,0.336207
0.419226,0.387073,0.32516,0.423461,0.461451,0.458539,0.390868,0.307443,0.369874,0.419435,0.383432,0.433581,0.391655,0.4247,0.386359,0.29574,0.335497,0.420395,0.376493,0.353548,0.368959,0.362659,0.282115,0.238834,0.343367,0.38978,0.393695,0.366153,0.409635,0.353186,0.346693,0.286721
0.397827,0.409888,0.333739,0.430293,0.426265,0.454523,0.364076,0.308668,0.310448,0.435488,0.372903,0.408601,0.387114,0.386022,0.374121,0.273119,0.264268,0.343667,0.336598,0.300223,0.278278,0.280854,0.25645,0.191127,0.296279,0.321401,0.33857,0.325823,0.306529,0.281336,0.283033,0.232958
0.381768,0.329047,0.321499,0.401236,0.385707,0.438524,0.382438,0.27243,0.310455,0.392871,0.337344,0.422904,0.394083,0.362461,0.368204,0.287019,0.21919,0.278492,0.210672,0.212135,0.20858,0.232992,0.19979,0.178984,0.232741,0.243303,0.287912,0.23899,0.261165,0.223465,0.201305,0.164957
0.266236,0.229748,0.251865,0.320486,0.321084,0.323036,0.275014,0.24002,0.18253,0.320173,0.300505,0.350195,0.315232,0.312673,0.28568,0.213624,0.147661,0.222762,0.146654,0.152176,0.153934,0.145185,0.147137,0.100289,0.137635,0.17647,0.196276,0.164926,0.185278,0.177479,0.156657,0.127084
0.167821,0.184023,0.161369,0.176331,0.218729,0.209588,0.157479,0.156564,0.161779,0.244397,0.184275,0.220863,0.203115,0.209871,0.179458,0.150155,0.12803,0.164909,0.137486,0.137509,0.109025,0.152827,0.109737,0.069765,0.122157,0.140432,0.139008,0.146479,0.150559,0.137627,0.121694,0.111829
0.131496,0.122303,0.0999234,0.143316,0.142679,0.146535,0.101863,0.128209,0.107727,0.121244,0.124382,0.14851,0.119551,0.118099,0.115057,0.0861913,0.122144,0.145581,0.144663,0.128035,0.131102,0.121161,0.106163,0.0898821,0.108825,0.135642,0.110826,0.119805,0.128101,0.103386,0.128189,0.121677
0.116483,0.112169,0.0928196,0.110493,0.0941322,0.102474,0.108511,0.0600051,0.0796193,0.0996862,0.0893669,0.104985,0.103489,0.104497,0.0781807,0.102462,0.0827879,0.122957,0.129458,0.119073,0.128588,0.113394,0.0693664,0.117029,0.125955,0.11546,0.138934,0.0988869,0.123121,0.119146,0.112899,0.124668
0.079869,0.0747947,0.0794857,0.110886,0.109099,0.0866912,0.111097,0.0680213,0.080027,0.0967929,0.0846023,0.0708627,0.0879728,0.0829835,0.0746829,0.0776694,0.0959513,0.125309,0.126045,0.103243,0.0947978,0.142407,0.0999856,0.108924,0.0734476,0.111667,0.143388,0.101013,0.125515,0.115833,0.129007,0.13154
0.0676004,0.0914513,0.0931428,0.0960585,0.0957269,0.103309,0.0857817,0.106617,0.0719606,0.104982,0.0896575,0.0806315,0.123117,0.0992386,0.0724899,0.085839,0.106505,0.178679,0.129796,0.142063,0.128897,0.12936,0.142363,0.116754,0.129842,0.172082,0.181603,0.131858,0.154862,0.141912,0.124698,0.143995
0.0931607,0.0775733,0.0957962,0.101558,0.0940489,0.130231,0.126354,0.119363,0.0570217,0.131657,0.0995462,0.115814,0.0939873,0.102991,0.100882,0.0792111,0.185397,0.201208,0.135916,0.165334,0.184388,0.176693,0.119293,0.12859,0.16891,0.169767,0.163828,0.181665,0.177947,0.174235,0.139124,0.146461
0.0960405,0.116736,0.115737,0.0968228,0.118833,0.128394,0.0955105,0.140755,0.11829,0.115557,0.134791,0.156406,0.11912,0.15803,0.101442,0.113133,0.232161,0.221762,0.218754,0.205087,0.214402,0.213334,0.173272,0.137849,0.215737,0.21012,0.214164,0.217731,0.205296,0.188449,0.173149,0.183311
0.145768,0.168808,0.106091,0.160166,0.148608,0.16737,0.120845,0.13476,0.134377,0.142051,0.151484,0.160241,0.151698,0.150042,0.17724,0.148946,0.217721,0.214133,0.220294,0.184,0.222712,0.198459,0.21,0.191512,0.180248,0.256436,0.264702,0.221215,0.244621,0.210252,0.206907,0.197077
0.205373,0.168275,0.166871,0.18885,0.191703,0.166545,0.197721,0.164127,0.153835,0.197477,0.136253,0.171564,0.183341,0.172175,0.197063,0.140653,0.222153,0.248413,0.216561,0.229863,0.235673,0.247738,0.206749,0.182754,0.17408,0.223952,0.28821,0.248553,0.243591,0.201218,0.224217,0.204621
0.184397,0.212923,0.188326,0.186507,0.1852,0.21263,0.187836,0.158666,0.184424,0.208777,0.191099,0.213129,0.201779,0.240734,0.16067,0.123512,0.226384,0.26968,0.26702,0.255645,0.229487,0.248386,0.205224,0.213037,0.23564,0.28186,0.267026,0.264106,0.284124,0.263418,0.253244,0.235311
0.24421,0.201917,0.230665,0.21054,0.207188,0.212817,0.236076,0.177609,0.145521,0.218587,0.19032,0.234244,0.236105,0.217122,0.183948,0.174698,0.240959,0.292205,0.26039,0.254634,0.234391,0.265407,0.247541,0.170425,0.260171,0.311652,0.246159,0.279352,0.263549,0.291413,0.245119,0.228012
0.208389,0.20174,0.191677,0.237042,0.259867,0.261881,0.229691,0.209436,0.175888,0.253609,0.239117,0.270769,0.236041,0.240015,0.217109,0.178067,0.254693,0.195175,0.251152,0.260678,0.252224,0.240946,0.236039,0.195672,0.232189,0.230383,0.271562,0.264445,0.252427,0.243908,0.285916,0.209449
0.195143,0.248675,0.228559,0.241356,0.266461,0.260577,0.217359,0.220741,0.216397,0.24505,0.248247,0.286888,0.249543,0.245696,0.234524,0.208484,0.199141,0.265149,0.242737,0.205489,0.233306,0.229141,0.175301,0.165875,0.197213,0.215108,0.303661,0.204224,0.244435,0.187765,0.188533,0.198433
0.256369,0.22438,0.195228,0.22792,0.295212,0.253469,0.189193,0.178138,0.192824,0.227551,0.187464,0.229372,0.218913,0.206581,0.210471,0.205978,0.192335,0.253893,0.22105,0.217681,0.188218,0.199444,0.192951,0.157273,0.170976,0.237958,0.268991,0.200935,0.21986,0.210143,0.198359,0.178632
0.198728,0.176353,0.164496,0.208765,0.196767,0.210482,0.172074,0.1272,0.163101,0.192775,0.152888,0.177002,0.239194,0.212483,0.200336,0.148702,0.167805,0.23922,0.213566,0.205668,0.201306,0.215618,0.205914,0.156748,0.218788,0.249961,0.23031,0.228622,0.233232,0.23162,0.203597,0.196743
0.191975,0.207385,0.170105,0.248043,0.238888,0.227244,0.215095,0.213215,0.179624,0.219995,0.164667,0.204523,0.18836,0.211349,0.166337,0.162023,0.205487,0.256309,0.223266,0.2265,0.2296,0.218004,0.200537,0.133431,0.223974,0.235735,0.22499,0.212872,0.228042,0.228092,0.204512,0.196334
0.210391,0.197369,0.180376,0.195339,0.18278,0.194161,0.201497,0.16053,0.131143,0.221903,0.184611,0.215589,0.191804,0.204944,0.20788,0.12793,0.226856,0.20599,0.204586,0.258724,0.192405,0.206166,0.212987,0.198256,0.213384,0.22578,0.272381,0.22691,0.224258,0.221359,0.216429,0.192551
0.18492,0.174007,0.176699,0.18096,0.197772,0.187454,0.216157,0.155484,0.146256,0.201444,0.207013,0.21534,0.186171,0.233342,0.180353,0.165695,0.171124,0.195488,0.210845,0.251093,0.230667,0.251106,0.201739,0.216129,0.205641,0.216227,0.278353,0.182961,0.238143,0.189147,0.235491,0.187429
0.184002,0.174469,0.117624,0.172824,0.212925,0.220694,0.169015,0.166917,0.165394,0.218409,0.163751,0.215424,0.189824,0.194688,0.204385,0.117592,0.197444,0.263784,0.246958,0.203375,0.226965,0.257572,0.2091,0.168188,0.197372,0.257581,0.277101,0.209749,0.235787,0.242507,0.223777,0.216926
0.215893,0.197648,0.157649,0.2273,0.243776,0.261203,0.201247,0.171498,0.203938,0.210425,0.197536,0.202142,0.192391,0.239492,0.215953,0.18891,0.188855,0.279337,0.21374,0.268109,0.204757,0.243698,0.202278,0.162569,0.253884,0.286452,0.255347,0.235446,0.287768,0.266883,0.267842,0.21517
